,batch_size,img_size,num_epochs,learning_rate,epochs,train_losses,test_losses,train_accuracies,test_accuracies
0,1,128,25,0.0001,1,1.6084857798753143,1.6605093023043629,tensor(39.1453),tensor(40.7407)
1,1,128,25,0.0001,2,1.0540277912950253,1.132623124015213,tensor(63.1624),tensor(60.)
2,1,128,25,0.0001,3,0.7421371122317797,0.9635928928965545,tensor(75.0427),tensor(64.8148)
3,1,128,25,0.0001,4,0.5377415917335099,0.8422012194207916,tensor(83.7607),tensor(68.5185)
4,1,128,25,0.0001,5,0.37986844594368346,0.7773646352957196,tensor(88.5470),tensor(71.8519)
5,1,128,25,0.0001,6,0.2529542919543043,0.7698064716087919,tensor(93.1624),tensor(72.9630)
6,1,128,25,0.0001,7,0.34141701411330133,1.0686524394024723,tensor(87.3504),tensor(68.5185)
7,1,128,25,0.0001,8,0.12857168827599388,0.7396627460227068,tensor(96.0684),tensor(74.4444)
8,1,128,25,0.0001,9,0.10847399442977827,0.986959928865549,tensor(95.8120),tensor(74.4444)
9,1,128,25,0.0001,10,0.11571377773548595,1.0726137987680726,tensor(95.9829),tensor(74.4444)
10,1,128,25,0.0001,11,0.05647314429468662,0.8535549152215853,tensor(98.5470),tensor(76.6667)
11,1,128,25,0.0001,12,0.03883855047940717,0.7846919794021646,tensor(98.6325),tensor(77.4074)
12,1,128,25,0.0001,13,0.060645803768763766,0.9963592223333727,tensor(97.6923),tensor(78.8889)
13,1,128,25,0.0001,14,0.0596914765048666,1.0724703083498048,tensor(97.6923),tensor(76.6667)
14,1,128,25,0.0001,15,0.04799880642364626,0.8647912775720112,tensor(98.5470),tensor(77.0370)
15,1,128,25,0.0001,16,0.012504415440843214,0.8374070479216692,tensor(99.6581),tensor(81.1111)
16,1,128,25,0.0001,17,0.000546112710048388,0.968849112172479,tensor(100.),tensor(81.8519)
17,1,128,25,0.0001,18,0.0002599134593727467,1.0631418757219875,tensor(100.),tensor(80.7407)
18,1,128,25,0.0001,19,0.00013827997982256328,1.1058325252594121,tensor(100.),tensor(80.7407)
19,1,128,25,0.0001,20,7.850309585319751e-05,1.1633706260777996,tensor(100.),tensor(81.8519)
20,1,128,25,0.0001,21,4.157763042636482e-05,1.2201207424116842,tensor(100.),tensor(81.8519)
21,1,128,25,0.0001,22,2.4678739611352706e-05,1.2837364505507813,tensor(100.),tensor(81.1111)
22,1,128,25,0.0001,23,1.3610916270183834e-05,1.3405322956535755,tensor(100.),tensor(82.5926)
23,1,128,25,0.0001,24,6.761618969783547e-06,1.4625606075021311,tensor(100.),tensor(81.8519)
24,1,128,25,0.0001,25,3.517636580803155e-06,1.4973958129030325,tensor(100.),tensor(81.8519)
